,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2019-08-10,15:00,Premier League,Matchweek 1,Sat,Home,W,3,0,Southampton,0.9,1.2,47,19784.0,Ben Mee,4-4-2,Graham Scott,Match Report,,10,4,15.0,0.0,0,0
1,2019-08-17,12:30,Premier League,Matchweek 2,Sat,Away,L,1,2,Arsenal,1.5,0.8,33,60214.0,Ben Mee,4-4-2,Mike Dean,Match Report,,18,4,14.9,0.0,0,0
2,2019-08-25,16:30,Premier League,Matchweek 3,Sun,Away,D,1,1,Wolves,1.6,1.5,35,30522.0,Ben Mee,4-4-2,Craig Pawson,Match Report,,13,4,16.3,0.0,0,0
4,2019-08-31,17:30,Premier League,Matchweek 4,Sat,Home,L,0,3,Liverpool,0.9,1.0,37,21762.0,Ben Mee,4-4-2,Chris Kavanagh,Match Report,,7,2,19.7,0.0,0,0
5,2019-09-14,15:00,Premier League,Matchweek 5,Sat,Away,D,1,1,Brighton,0.4,1.4,38,29398.0,Ben Mee,4-4-2,Michael Oliver,Match Report,,7,1,17.7,0.0,0,0
6,2019-09-21,15:00,Premier League,Matchweek 6,Sat,Home,W,2,0,Norwich City,2.0,0.8,42,19712.0,Ben Mee,4-4-2,David Coote,Match Report,,13,6,14.4,1.0,0,0
7,2019-09-28,15:00,Premier League,Matchweek 7,Sat,Away,D,2,2,Aston Villa,1.5,1.0,40,41546.0,Ben Mee,4-4-2,Lee Mason,Match Report,,10,3,13.2,2.0,0,0
8,2019-10-05,15:00,Premier League,Matchweek 8,Sat,Home,W,1,0,Everton,0.6,1.3,42,20650.0,Ben Mee,4-4-2,Graham Scott,Match Report,,9,3,15.6,1.0,0,0
9,2019-10-19,15:00,Premier League,Matchweek 9,Sat,Away,L,1,2,Leicester City,1.5,1.0,37,32105.0,Ben Mee,4-4-2,Jonathan Moss,Match Report,,13,4,18.4,1.0,0,0
10,2019-10-26,17:30,Premier League,Matchweek 10,Sat,Home,L,2,4,Chelsea,2.1,0.9,37,20975.0,Ben Mee,4-4-2,Michael Oliver,Match Report,,13,5,14.8,0.0,0,0
11,2019-11-02,15:00,Premier League,Matchweek 11,Sat,Away,L,0,3,Sheffield Utd,0.8,2.3,55,31131.0,Ben Mee,4-4-2,Simon Hooper,Match Report,,6,0,14.7,1.0,0,0
12,2019-11-09,15:00,Premier League,Matchweek 12,Sat,Home,W,3,0,West Ham,2.1,0.5,41,20255.0,Ben Mee,4-4-2,Kevin Friend,Match Report,,14,12,17.4,0.0,0,0
13,2019-11-23,15:00,Premier League,Matchweek 13,Sat,Away,W,3,0,Watford,1.9,1.0,38,19711.0,Ben Mee,4-4-2,Paul Tierney,Match Report,,10,4,17.7,0.0,1,1
14,2019-11-30,15:00,Premier League,Matchweek 14,Sat,Home,L,0,2,Crystal Palace,1.9,0.7,44,19818.0,Ben Mee,4-4-2,Peter Bankes,Match Report,,15,3,13.0,0.0,0,0
15,2019-12-03,20:15,Premier League,Matchweek 15,Tue,Home,L,1,4,Manchester City,0.6,2.2,25,20101.0,Ben Mee,4-4-1-1,Jonathan Moss,Match Report,,4,2,14.9,1.0,0,0
16,2019-12-07,15:00,Premier League,Matchweek 16,Sat,Away,L,0,5,Tottenham,0.9,2.6,51,58401.0,Ben Mee,4-4-2,Kevin Friend,Match Report,,7,1,15.1,0.0,0,0
17,2019-12-14,15:00,Premier League,Matchweek 17,Sat,Home,W,1,0,Newcastle Utd,1.4,1.0,48,19798.0,Ben Mee,4-4-2,Tim Robinson,Match Report,,7,4,12.1,0.0,0,0
18,2019-12-21,15:00,Premier League,Matchweek 18,Sat,Away,W,1,0,Bournemouth,0.2,0.1,37,10020.0,Ben Mee,4-4-2,Martin Atkinson,Match Report,,2,1,18.3,0.0,0,0
19,2019-12-26,15:00,Premier League,Matchweek 19,Thu,Away,L,0,1,Everton,0.3,1.4,33,39177.0,Ben Mee,4-4-2,Anthony Taylor,Match Report,,6,0,16.9,0.0,0,0
