,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
1,2017-08-12,15:00,Premier League,Matchweek 1,Sat,Home,L,2,3,Burnley,1.5,0.6,62.0,41616,Gary Cahill,3-4-3,Craig Pawson,Match Report,,19,6,21.3,1.0,0,0
2,2017-08-20,16:00,Premier League,Matchweek 2,Sun,Away,W,2,1,Tottenham,0.7,0.7,32.0,73587,César Azpilicueta,3-5-1-1,Anthony Taylor,Match Report,,9,2,16.6,1.0,0,0
3,2017-08-27,13:30,Premier League,Matchweek 3,Sun,Home,W,2,0,Everton,1.0,0.4,57.0,41382,César Azpilicueta,3-4-3,Jonathan Moss,Match Report,,18,7,19.4,0.0,0,0
4,2017-09-09,15:00,Premier League,Matchweek 4,Sat,Away,W,2,1,Leicester City,0.8,1.4,59.0,30923,César Azpilicueta,3-4-3,Lee Mason,Match Report,,16,6,21.0,1.0,0,0
6,2017-09-17,13:30,Premier League,Matchweek 5,Sun,Home,D,0,0,Arsenal,0.8,1.4,51.0,41478,Gary Cahill,3-4-3,Michael Oliver,Match Report,,13,4,21.1,0.0,0,0
8,2017-09-23,15:00,Premier League,Matchweek 6,Sat,Away,W,4,0,Stoke City,1.4,0.8,55.0,29661,César Azpilicueta,3-4-3,Mike Dean,Match Report,,7,4,11.7,0.0,0,0
10,2017-09-30,17:30,Premier League,Matchweek 7,Sat,Home,L,0,1,Manchester City,0.5,0.9,39.0,41530,Gary Cahill,3-5-1-1,Martin Atkinson,Match Report,,4,2,11.5,0.0,0,0
11,2017-10-14,15:00,Premier League,Matchweek 8,Sat,Away,L,1,2,Crystal Palace,0.8,1.7,57.0,25480,Gary Cahill,3-4-3,Andre Marriner,Match Report,,15,5,20.0,1.0,0,0
13,2017-10-21,12:30,Premier League,Matchweek 9,Sat,Home,W,4,2,Watford,1.9,1.9,52.0,41467,Gary Cahill,3-4-3,Jonathan Moss,Match Report,,14,8,19.8,0.0,0,0
15,2017-10-28,17:30,Premier League,Matchweek 10,Sat,Away,W,1,0,Bournemouth,1.6,0.5,58.0,10998,César Azpilicueta,3-4-3,Craig Pawson,Match Report,,18,5,15.1,0.0,0,0
17,2017-11-05,16:30,Premier League,Matchweek 11,Sun,Home,W,1,0,Manchester Utd,1.6,0.7,54.0,41615,Gary Cahill,3-1-4-2,Anthony Taylor,Match Report,,18,8,17.2,0.0,0,0
18,2017-11-18,15:00,Premier League,Matchweek 12,Sat,Away,W,4,0,West Brom,1.6,0.8,61.0,23592,Gary Cahill,3-5-1-1,Jonathan Moss,Match Report,,11,7,14.9,0.0,0,0
20,2017-11-25,17:30,Premier League,Matchweek 13,Sat,Away,D,1,1,Liverpool,0.8,1.2,47.0,53225,Gary Cahill,3-5-1-1,Michael Oliver,Match Report,,11,3,17.5,1.0,0,0
