,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2019-08-11,14:00,Premier League,Matchweek 1,Sun,Home,D,0,0,Wolves,0.7,0.7,69,32015.0,Kasper Schmeichel,4-1-4-1,Andre Marriner,Match Report,,16,1,23.9,0.0,0,0
1,2019-08-18,16:30,Premier League,Matchweek 2,Sun,Away,D,1,1,Chelsea,0.8,1.1,50,40629.0,Kasper Schmeichel,4-1-4-1,Oliver Langford,Match Report,,12,3,20.8,0.0,0,0
2,2019-08-24,15:00,Premier League,Matchweek 3,Sat,Away,W,2,1,Sheffield Utd,0.8,0.3,51,30079.0,Kasper Schmeichel,4-3-3,Andy Madley,Match Report,,10,2,19.1,2.0,0,0
4,2019-08-31,15:00,Premier League,Matchweek 4,Sat,Home,W,3,1,Bournemouth,2.0,0.6,55,31613.0,Kasper Schmeichel,4-1-4-1,Peter Bankes,Match Report,,15,6,20.5,0.0,0,0
5,2019-09-14,15:00,Premier League,Matchweek 5,Sat,Away,L,0,1,Manchester Utd,0.6,1.2,58,73689.0,Kasper Schmeichel,4-1-4-1,Martin Atkinson,Match Report,,9,3,24.7,1.0,0,0
6,2019-09-21,12:30,Premier League,Matchweek 6,Sat,Home,W,2,1,Tottenham,1.3,1.1,44,32129.0,Kasper Schmeichel,4-1-4-1,Paul Tierney,Match Report,,16,7,18.0,0.0,0,0
8,2019-09-29,16:30,Premier League,Matchweek 7,Sun,Home,W,5,0,Newcastle Utd,1.6,0.1,68,32168.0,Kasper Schmeichel,4-1-4-1,Craig Pawson,Match Report,,13,5,15.4,0.0,0,0
9,2019-10-05,15:00,Premier League,Matchweek 8,Sat,Away,L,1,2,Liverpool,0.1,3.5,49,53322.0,Kasper Schmeichel,4-1-4-1,Chris Kavanagh,Match Report,,2,1,19.5,0.0,0,0
10,2019-10-19,15:00,Premier League,Matchweek 9,Sat,Home,W,2,1,Burnley,1.0,1.5,63,32105.0,Kasper Schmeichel,4-1-4-1,Jonathan Moss,Match Report,,19,3,19.0,1.0,0,0
11,2019-10-25,20:00,Premier League,Matchweek 10,Fri,Away,W,9,0,Southampton,4.6,0.3,72,28762.0,Kasper Schmeichel,4-1-4-1,Andre Marriner,Match Report,,24,14,17.5,1.0,1,1
13,2019-11-03,14:00,Premier League,Matchweek 11,Sun,Away,W,2,0,Crystal Palace,1.1,0.5,55,25480.0,Kasper Schmeichel,4-1-4-1,Paul Tierney,Match Report,,14,5,13.8,1.0,0,0
