,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2023-08-12,15:00,Premier League,Matchweek 1,Sat,Away,L,1.0,4.0,Brighton,1.5,4.0,30.0,31872.0,Tom Lockyer,3-5-2,David Coote,Match Report,,8,2,16.6,0.0,1,1
1,2023-08-25,20:00,Premier League,Matchweek 3,Fri,Away,L,0.0,3.0,Chelsea,0.4,2.2,33.0,39893.0,Tom Lockyer,5-3-2,Robert Jones,Match Report,,11,1,19.0,1.0,0,0
3,2023-09-01,20:00,Premier League,Matchweek 4,Fri,Home,L,1.0,2.0,West Ham,1.4,1.0,39.0,10802.0,Carlton Morris,5-3-2,Paul Tierney,Match Report,,16,1,11.9,0.0,0,0
4,2023-09-16,15:00,Premier League,Matchweek 5,Sat,Away,L,0.0,1.0,Fulham,1.1,1.0,23.0,24467.0,Tom Lockyer,5-3-2,Michael Salisbury,Match Report,,7,2,10.0,0.0,0,0
5,2023-09-23,15:00,Premier League,Matchweek 6,Sat,Home,D,1.0,1.0,Wolves,2.1,0.6,57.0,10893.0,Tom Lockyer,3-4-3,Joshua Smith,Match Report,,19,3,17.3,0.0,1,1
7,2023-09-30,15:00,Premier League,Matchweek 7,Sat,Away,W,2.0,1.0,Everton,0.9,2.9,33.0,39289.0,Tom Lockyer,3-4-3,Anthony Taylor,Match Report,,9,2,13.4,0.0,0,0
8,2023-10-03,19:30,Premier League,Matchweek 2,Tue,Home,L,1.0,2.0,Burnley,1.3,1.1,49.0,10918.0,Tom Lockyer,3-4-3,Peter Bankes,Match Report,,18,2,13.1,0.0,0,0
9,2023-10-07,12:30,Premier League,Matchweek 8,Sat,Home,L,0.0,1.0,Tottenham,0.8,1.9,34.0,10290.0,Tom Lockyer,4-4-2,John Brooks,Match Report,,12,2,16.3,0.0,0,0
10,2023-10-21,15:00,Premier League,Matchweek 9,Sat,Away,D,2.0,2.0,Nott'ham Forest,1.7,2.9,43.0,29361.0,Tom Lockyer,4-4-2,Samuel Barrott,Match Report,,13,4,17.6,0.0,0,0
11,2023-10-29,14:00,Premier League,Matchweek 10,Sun,Away,L,1.0,3.0,Aston Villa,0.5,2.3,30.0,41785.0,Tom Lockyer,3-4-3,John Brooks,Match Report,,7,1,17.3,0.0,0,0
12,2023-11-05,16:30,Premier League,Matchweek 11,Sun,Home,D,1.0,1.0,Liverpool,0.8,2.6,27.0,11049.0,Tom Lockyer,3-4-3,Andy Madley,Match Report,,8,5,17.9,0.0,0,0
13,2023-11-11,15:00,Premier League,Matchweek 12,Sat,Away,L,0.0,1.0,Manchester Utd,0.4,2.2,36.0,73599.0,Tom Lockyer,3-4-3,Graham Scott,Match Report,,10,4,21.9,1.0,0,0
14,2023-11-25,15:00,Premier League,Matchweek 13,Sat,Home,W,2.0,1.0,Crystal Palace,0.9,1.6,39.0,11029.0,Tom Lockyer,3-4-3,Jarred Gillett,Match Report,,8,3,14.2,0.0,0,0
15,2023-12-02,15:00,Premier League,Matchweek 14,Sat,Away,L,1.0,3.0,Brentford,0.2,3.1,32.0,17075.0,Tom Lockyer,3-4-3,Anthony Taylor,Match Report,,7,1,23.8,0.0,0,0
16,2023-12-05,20:15,Premier League,Matchweek 15,Tue,Home,L,3.0,4.0,Arsenal,0.5,2.2,34.0,11031.0,Pelly Ruddock Mpanzu,3-4-3,Samuel Barrott,Match Report,,6,4,18.8,0.0,0,0
17,2023-12-10,14:00,Premier League,Matchweek 16,Sun,Home,L,1.0,2.0,Manchester City,0.3,1.6,35.0,11047.0,Tom Lockyer,3-4-3,Tim Robinson,Match Report,,4,2,19.2,0.0,0,0
18,2023-12-23,15:00,Premier League,Matchweek 18,Sat,Home,W,1.0,0.0,Newcastle Utd,1.4,1.4,35.0,11042.0,Amari'i Bell,3-4-3,Darren England,Match Report,,16,5,19.4,0.0,0,0
19,2023-12-26,15:00,Premier League,Matchweek 19,Tue,Away,W,3.0,2.0,Sheffield Utd,0.6,2.4,49.0,31041.0,Amari'i Bell,3-4-3,Samuel Allison,Match Report,,12,4,17.9,1.0,0,0
20,2023-12-30,12:30,Premier League,Matchweek 20,Sat,Home,L,2.0,3.0,Chelsea,2.3,1.5,52.0,11041.0,Amari'i Bell,3-4-3,Paul Tierney,Match Report,,15,6,11.6,1.0,0,0
22,2024-01-12,19:45,Premier League,Matchweek 21,Fri,Away,D,1.0,1.0,Burnley,0.9,1.1,61.0,20155.0,Amari'i Bell,3-4-3,Tony Harrington,Match Report,,14,5,18.2,0.0,0,0
25,2024-01-30,19:45,Premier League,Matchweek 22,Tue,Home,W,4.0,0.0,Brighton,3.1,0.9,41.0,10994.0,Carlton Morris,3-4-3,Robert Jones,Match Report,,18,8,13.8,1.0,0,0
26,2024-02-03,15:00,Premier League,Matchweek 23,Sat,Away,D,4.0,4.0,Newcastle Utd,2.4,2.3,45.0,52211.0,Carlton Morris,3-4-3,Thomas Bramall,Match Report,,10,7,14.0,0.0,1,1
27,2024-02-10,15:00,Premier League,Matchweek 24,Sat,Home,L,1.0,3.0,Sheffield Utd,1.8,1.7,74.0,11138.0,Carlton Morris,3-4-3,Chris Kavanagh,Match Report,,19,4,17.3,0.0,1,1
