,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
1,2017-08-13,16:00,Premier League,Matchweek 1,Sun,Home,W,4,0,West Ham,2.1,0.5,55,74928,Antonio Valencia,4-2-3-1,Martin Atkinson,Match Report,,21,5,18.3,0.0,0,0
2,2017-08-19,12:30,Premier League,Matchweek 2,Sat,Away,W,4,0,Swansea City,3.0,0.4,58,20862,Antonio Valencia,4-2-3-1,Jonathan Moss,Match Report,,17,8,18.3,1.0,0,0
3,2017-08-26,17:30,Premier League,Matchweek 3,Sat,Home,W,2,0,Leicester City,2.8,0.9,69,75021,Antonio Valencia,4-2-3-1,Michael Oliver,Match Report,,21,6,19.6,1.0,0,1
4,2017-09-09,17:30,Premier League,Matchweek 4,Sat,Away,D,2,2,Stoke City,2.1,1.2,63,29320,Antonio Valencia,4-3-3,Niel Swarbrick,Match Report,,18,8,18.0,1.0,0,0
6,2017-09-17,16:00,Premier League,Matchweek 5,Sun,Home,W,4,0,Everton,2.9,1.1,49,75042,Antonio Valencia,4-2-3-1,Andre Marriner,Match Report,,15,6,15.7,2.0,1,1
8,2017-09-23,15:00,Premier League,Matchweek 6,Sat,Away,W,1,0,Southampton,1.2,1.0,40,31930,Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,,9,4,17.1,1.0,0,0
10,2017-09-30,15:00,Premier League,Matchweek 7,Sat,Home,W,4,0,Crystal Palace,2.8,0.4,59,75118,David de Gea,4-2-3-1,Mike Dean,Match Report,,18,7,14.0,0.0,0,0
11,2017-10-14,12:30,Premier League,Matchweek 8,Sat,Away,D,0,0,Liverpool,0.2,1.5,38,52912,Antonio Valencia,4-2-3-1,Martin Atkinson,Match Report,,6,1,24.2,0.0,0,0
13,2017-10-21,15:00,Premier League,Matchweek 9,Sat,Away,L,1,2,Huddersfield,0.8,1.2,77,24426,Antonio Valencia,4-2-3-1,Lee Mason,Match Report,,9,3,16.8,0.0,0,0
15,2017-10-28,12:30,Premier League,Matchweek 10,Sat,Home,W,1,0,Tottenham,0.8,1.2,45,75034,Antonio Valencia,3-4-1-2,Jonathan Moss,Match Report,,11,3,18.2,1.0,0,0
17,2017-11-05,16:30,Premier League,Matchweek 11,Sun,Away,L,0,1,Chelsea,0.7,1.6,46,41615,Antonio Valencia,3-4-1-2,Anthony Taylor,Match Report,,10,2,21.6,1.0,0,0
18,2017-11-18,17:30,Premier League,Matchweek 12,Sat,Home,W,4,1,Newcastle Utd,3.1,1.1,65,75035,Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,,16,7,11.5,0.0,0,0
20,2017-11-25,15:00,Premier League,Matchweek 13,Sat,Home,W,1,0,Brighton,1.2,0.5,58,75018,Antonio Valencia,4-2-3-1,Niel Swarbrick,Match Report,,15,4,17.1,0.0,0,0
21,2017-11-28,20:00,Premier League,Matchweek 14,Tue,Away,W,4,2,Watford,1.2,1.4,41,20552,Antonio Valencia,3-4-3,Jonathan Moss,Match Report,,15,6,19.3,2.0,0,0
22,2017-12-02,17:30,Premier League,Matchweek 15,Sat,Away,W,3,1,Arsenal,1.8,4.7,25,59547,Antonio Valencia,3-4-1-2,Andre Marriner,Match Report,,8,4,13.0,0.0,0,0
24,2017-12-10,16:30,Premier League,Matchweek 16,Sun,Home,L,1,2,Manchester City,1.4,1.7,36,74847,Antonio Valencia,4-2-3-1,Michael Oliver,Match Report,,8,5,15.6,1.0,0,0
25,2017-12-13,20:00,Premier League,Matchweek 17,Wed,Home,W,1,0,Bournemouth,1.1,0.8,57,74798,Antonio Valencia,4-2-3-1,Graham Scott,Match Report,,9,2,14.6,0.0,0,0
26,2017-12-17,14:15,Premier League,Matchweek 18,Sun,Away,W,2,1,West Brom,0.7,1.1,56,24782,Antonio Valencia,4-2-3-1,Anthony Taylor,Match Report,,8,3,17.8,0.0,0,0
28,2017-12-23,19:45,Premier League,Matchweek 19,Sat,Away,D,2,2,Leicester City,1.9,1.4,51,32202,Paul Pogba,4-2-3-1,Jonathan Moss,Match Report,,19,6,22.4,1.0,0,0
29,2017-12-26,15:00,Premier League,Matchweek 20,Tue,Home,D,2,2,Burnley,2.0,0.5,71,75046,Paul Pogba,4-2-3-1,Martin Atkinson,Match Report,,24,5,18.3,1.0,0,0
30,2017-12-30,17:30,Premier League,Matchweek 21,Sat,Home,D,0,0,Southampton,1.7,0.6,54,75051,Paul Pogba,4-2-3-1,Craig Pawson,Match Report,,15,3,20.0,1.0,0,0
31,2018-01-01,17:30,Premier League,Matchweek 22,Mon,Away,W,2,0,Everton,1.4,1.2,60,39188,Paul Pogba,4-3-3,Andre Marriner,Match Report,,21,6,24.6,0.0,0,0
33,2018-01-15,20:00,Premier League,Matchweek 23,Mon,Home,W,3,0,Stoke City,1.5,1.3,60,74726,Antonio Valencia,4-2-3-1,Anthony Taylor,Match Report,,20,9,18.2,2.0,0,0
34,2018-01-20,15:00,Premier League,Matchweek 24,Sat,Away,W,1,0,Burnley,0.8,1.0,52,21841,Antonio Valencia,4-3-3,Mike Dean,Match Report,,12,2,18.7,0.0,0,0
36,2018-01-31,20:00,Premier League,Matchweek 25,Wed,Away,L,0,2,Tottenham,1.0,1.5,48,81978,Antonio Valencia,4-2-3-1,Andre Marriner,Match Report,,6,3,12.7,0.0,0,0
37,2018-02-03,15:00,Premier League,Matchweek 26,Sat,Home,W,2,0,Huddersfield,1.6,0.2,74,74742,Antonio Valencia,4-2-3-1,Stuart Attwell,Match Report,,15,6,19.7,0.0,0,1
38,2018-02-11,14:15,Premier League,Matchweek 27,Sun,Away,L,0,1,Newcastle Utd,1.9,0.5,64,52309,Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,,13,3,13.5,0.0,0,0
41,2018-02-25,14:05,Premier League,Matchweek 28,Sun,Home,W,2,1,Chelsea,1.2,1.7,44,75060,Antonio Valencia,4-1-2-1-2◆,Martin Atkinson,Match Report,,10,5,15.3,0.0,0,0
42,2018-03-05,20:00,Premier League,Matchweek 29,Mon,Away,W,3,2,Crystal Palace,1.2,0.6,69,25840,Antonio Valencia,4-3-3,Niel Swarbrick,Match Report,,17,7,19.2,1.0,0,0
43,2018-03-10,12:30,Premier League,Matchweek 30,Sat,Home,W,2,1,Liverpool,0.7,0.7,33,74855,Antonio Valencia,4-2-3-1,Craig Pawson,Match Report,,5,2,11.2,0.0,0,0
46,2018-03-31,15:00,Premier League,Matchweek 32,Sat,Home,W,2,0,Swansea City,2.2,0.2,66,75038,Antonio Valencia,4-2-3-1,Robert Madley,Match Report,,11,5,15.4,0.0,0,0
47,2018-04-07,17:30,Premier League,Matchweek 33,Sat,Away,W,3,2,Manchester City,1.1,2.6,36,54259,Antonio Valencia,4-3-3,Martin Atkinson,Match Report,,5,4,16.9,0.0,0,0
48,2018-04-15,16:00,Premier League,Matchweek 34,Sun,Home,L,0,1,West Brom,0.7,0.7,70,75095,Antonio Valencia,4-3-3,Paul Tierney,Match Report,,14,4,21.1,0.0,0,0
49,2018-04-18,19:45,Premier League,Matchweek 35,Wed,Away,W,2,0,Bournemouth,1.3,1.2,55,10952,David de Gea,4-3-3,Graham Scott,Match Report,,13,4,20.7,1.0,0,0
51,2018-04-29,16:30,Premier League,Matchweek 36,Sun,Home,W,2,1,Arsenal,1.7,0.5,59,75035,Antonio Valencia,4-3-3,Kevin Friend,Match Report,,16,2,17.7,1.0,0,0
52,2018-05-04,20:00,Premier League,Matchweek 37,Fri,Away,L,0,1,Brighton,0.8,1.0,68,30611,Ashley Young,4-3-3,Craig Pawson,Match Report,,16,3,22.0,2.0,0,0
53,2018-05-10,19:45,Premier League,Matchweek 31,Thu,Away,D,0,0,West Ham,0.8,0.6,56,56902,Antonio Valencia,5-3-2,Jonathan Moss,Match Report,,16,6,24.5,0.0,0,0
54,2018-05-13,15:00,Premier League,Matchweek 38,Sun,Home,W,1,0,Watford,0.4,0.6,52,75049,Michael Carrick,4-3-3,Lee Mason,Match Report,,7,1,23.4,0.0,0,0
