,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2019-08-09,20:00,Premier League,Matchweek 1,Fri,Away,L,1,4,Liverpool,0.9,1.8,43,53333.0,Grant Hanley,4-2-3-1,Michael Oliver,Match Report,,12,5,17.3,1.0,0,0
1,2019-08-17,15:00,Premier League,Matchweek 2,Sat,Home,W,3,1,Newcastle Utd,1.7,0.9,63,27059.0,Grant Hanley,4-2-3-1,Stuart Attwell,Match Report,,15,8,14.4,0.0,0,0
2,2019-08-24,12:30,Premier League,Matchweek 3,Sat,Home,L,2,3,Chelsea,1.1,1.5,46,27032.0,Grant Hanley,4-2-3-1,Martin Atkinson,Match Report,,6,5,12.8,0.0,0,0
4,2019-08-31,15:00,Premier League,Matchweek 4,Sat,Away,L,0,2,West Ham,1.4,2.0,52,59950.0,Christoph Zimmermann,4-2-3-1,Paul Tierney,Match Report,,8,3,14.3,0.0,0,0
5,2019-09-14,17:30,Premier League,Matchweek 5,Sat,Home,W,3,2,Manchester City,1.5,2.3,32,27035.0,Alexander Tettey,4-2-3-1,Kevin Friend,Match Report,,7,3,13.1,1.0,0,0
6,2019-09-21,15:00,Premier League,Matchweek 6,Sat,Away,L,0,2,Burnley,0.8,2.0,58,19712.0,Alexander Tettey,4-2-3-1,David Coote,Match Report,,11,2,18.7,0.0,0,0
7,2019-09-28,15:00,Premier League,Matchweek 7,Sat,Away,L,0,2,Crystal Palace,0.7,1.5,55,25477.0,Ben Godfrey,4-2-3-1,Jonathan Moss,Match Report,,10,3,17.8,0.0,0,0
8,2019-10-05,15:00,Premier League,Matchweek 8,Sat,Home,L,1,5,Aston Villa,2.6,3.0,57,27045.0,Ben Godfrey,4-2-3-1,Andy Madley,Match Report,,21,5,16.8,0.0,0,0
9,2019-10-19,15:00,Premier League,Matchweek 9,Sat,Away,D,0,0,Bournemouth,0.4,0.7,52,10669.0,Alexander Tettey,4-1-4-1,Lee Mason,Match Report,,10,1,22.0,0.0,0,0
10,2019-10-27,16:30,Premier League,Matchweek 10,Sun,Home,L,1,3,Manchester Utd,1.0,4.2,46,27108.0,Alexander Tettey,4-1-4-1,Stuart Attwell,Match Report,,10,3,17.3,0.0,0,0
11,2019-11-02,15:00,Premier League,Matchweek 11,Sat,Away,L,0,2,Brighton,0.4,2.7,42,30539.0,Alexander Tettey,4-2-3-1,Kevin Friend,Match Report,,7,0,16.0,1.0,0,0
12,2019-11-08,20:00,Premier League,Matchweek 12,Fri,Home,L,0,2,Watford,0.7,1.3,66,27074.0,Alexander Tettey,4-2-3-1,Andre Marriner,Match Report,,17,5,22.3,1.0,0,0
13,2019-11-23,15:00,Premier League,Matchweek 13,Sat,Away,W,2,0,Everton,1.7,0.9,43,39241.0,Alexander Tettey,4-2-3-1,Anthony Taylor,Match Report,,13,5,13.9,0.0,0,0
14,2019-12-01,14:00,Premier League,Matchweek 14,Sun,Home,D,2,2,Arsenal,0.8,1.9,40,27067.0,Christoph Zimmermann,4-2-3-1,Paul Tierney,Match Report,,15,8,18.1,0.0,0,0
15,2019-12-04,19:30,Premier League,Matchweek 15,Wed,Away,L,1,2,Southampton,0.9,1.7,60,27019.0,Christoph Zimmermann,4-2-3-1,Kevin Friend,Match Report,,10,3,17.7,0.0,0,0
16,2019-12-08,14:00,Premier League,Matchweek 16,Sun,Home,L,1,2,Sheffield Utd,0.7,0.8,58,26881.0,Alexander Tettey,4-2-3-1,Simon Hooper,Match Report,,14,4,18.4,0.0,0,0
17,2019-12-14,15:00,Premier League,Matchweek 17,Sat,Away,D,1,1,Leicester City,1.1,1.1,43,32101.0,Alexander Tettey,4-2-3-1,Andy Madley,Match Report,,10,3,17.4,1.0,0,0
18,2019-12-21,15:00,Premier League,Matchweek 18,Sat,Home,L,1,2,Wolves,1.3,1.4,50,27053.0,Grant Hanley,4-2-3-1,Peter Bankes,Match Report,,13,7,17.9,1.0,0,0
19,2019-12-26,15:00,Premier League,Matchweek 19,Thu,Away,L,0,1,Aston Villa,1.2,0.6,57,41289.0,Grant Hanley,4-2-3-1,Chris Kavanagh,Match Report,,16,5,15.6,1.0,0,0
20,2019-12-28,17:30,Premier League,Matchweek 20,Sat,Home,D,2,2,Tottenham,0.2,1.9,42,27072.0,Grant Hanley,4-2-3-1,Kevin Friend,Match Report,,5,2,18.7,0.0,0,0
21,2020-01-01,17:30,Premier League,Matchweek 21,Wed,Home,D,1,1,Crystal Palace,1.4,1.3,41,27021.0,Grant Hanley,4-2-3-1,Jonathan Moss,Match Report,,15,4,15.3,1.0,0,0
23,2020-01-11,15:00,Premier League,Matchweek 22,Sat,Away,L,0,4,Manchester Utd,0.3,2.9,40,73271.0,Grant Hanley,4-2-3-1,Anthony Taylor,Match Report,,8,3,25.1,1.0,0,0
24,2020-01-18,15:00,Premier League,Matchweek 23,Sat,Home,W,1,0,Bournemouth,1.8,0.7,65,26781.0,Alexander Tettey,4-2-3-1,Paul Tierney,Match Report,,15,3,22.5,1.0,1,1
25,2020-01-22,19:30,Premier League,Matchweek 24,Wed,Away,L,1,2,Tottenham,1.5,2.1,49,58182.0,Grant Hanley,4-2-3-1,Chris Kavanagh,Match Report,,12,1,19.8,0.0,1,1
