,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2017-08-12,15:00,Premier League,Matchweek 1,Sat,Home,D,0,0,Swansea City,2.0,0.3,60,31447,Steven Davis,4-2-3-1,Mike Jones,Match Report,,29,2,17.8,1.0,0,0
1,2017-08-19,15:00,Premier League,Matchweek 2,Sat,Home,W,3,2,West Ham,2.1,2.0,66,31424,Steven Davis,4-2-3-1,Lee Mason,Match Report,,12,3,23.6,0.0,2,2
3,2017-08-26,15:00,Premier League,Matchweek 3,Sat,Away,D,0,0,Huddersfield,0.7,1.4,55,23548,Steven Davis,4-2-3-1,Stuart Attwell,Match Report,,6,2,20.2,0.0,0,0
4,2017-09-09,15:00,Premier League,Matchweek 4,Sat,Home,L,0,2,Watford,0.3,0.7,53,31435,Steven Davis,4-2-3-1,Lee Probert,Match Report,,9,1,21.5,0.0,0,0
5,2017-09-16,12:30,Premier League,Matchweek 5,Sat,Away,W,1,0,Crystal Palace,1.0,2.0,54,24199,Steven Davis,4-2-3-1,Robert Madley,Match Report,,13,4,20.0,0.0,0,0
6,2017-09-23,15:00,Premier League,Matchweek 6,Sat,Home,L,0,1,Manchester Utd,1.0,1.2,60,31930,Steven Davis,4-2-3-1,Craig Pawson,Match Report,,14,3,18.2,0.0,0,0
7,2017-09-30,15:00,Premier League,Matchweek 7,Sat,Away,L,1,2,Stoke City,1.4,2.4,70,29285,Steven Davis,4-2-3-1,Mike Jones,Match Report,,21,3,16.3,0.0,0,0
8,2017-10-15,16:00,Premier League,Matchweek 8,Sun,Home,D,2,2,Newcastle Utd,1.5,1.2,62,31437,Maya Yoshida,4-4-2,Kevin Friend,Match Report,,11,1,19.9,0.0,1,1
9,2017-10-21,17:30,Premier League,Matchweek 9,Sat,Home,W,1,0,West Brom,2.0,0.4,65,29947,Steven Davis,4-1-2-1-2◆,Graham Scott,Match Report,,20,6,18.4,1.0,0,0
10,2017-10-29,13:30,Premier League,Matchweek 10,Sun,Away,D,1,1,Brighton,0.3,1.2,48,30564,Steven Davis,4-1-4-1,Niel Swarbrick,Match Report,,6,1,19.5,1.0,0,0
11,2017-11-04,15:00,Premier League,Matchweek 11,Sat,Home,L,0,1,Burnley,0.7,0.2,62,30491,Steven Davis,4-2-3-1,Lee Probert,Match Report,,13,3,14.8,0.0,0,0
12,2017-11-18,15:00,Premier League,Matchweek 12,Sat,Away,L,0,3,Liverpool,0.4,2.0,39,53256,Steven Davis,4-2-3-1,Mike Jones,Match Report,,5,0,15.7,1.0,0,0
13,2017-11-26,13:30,Premier League,Matchweek 13,Sun,Home,W,4,1,Everton,2.0,0.2,67,30461,Steven Davis,4-2-3-1,Kevin Friend,Match Report,,17,5,15.6,0.0,0,0
14,2017-11-29,20:00,Premier League,Matchweek 14,Wed,Away,L,1,2,Manchester City,1.3,1.4,26,53407,Maya Yoshida,5-4-1,Paul Tierney,Match Report,,7,2,9.2,0.0,0,0
15,2017-12-03,13:30,Premier League,Matchweek 15,Sun,Away,D,1,1,Bournemouth,1.5,0.9,51,10764,Steven Davis,4-2-3-1,Jonathan Moss,Match Report,,15,3,16.3,0.0,0,0
16,2017-12-10,12:00,Premier League,Matchweek 16,Sun,Home,D,1,1,Arsenal,1.3,0.7,33,31643,Maya Yoshida,4-2-3-1,Robert Madley,Match Report,,6,3,18.4,0.0,0,0
17,2017-12-13,19:45,Premier League,Matchweek 17,Wed,Home,L,1,4,Leicester City,1.5,1.8,53,27714,Steven Davis,4-2-3-1,Chris Kavanagh,Match Report,,11,4,14.7,1.0,0,0
18,2017-12-16,15:00,Premier League,Matchweek 18,Sat,Away,L,0,1,Chelsea,0.5,1.4,46,41562,Maya Yoshida,3-4-3,Roger East,Match Report,,6,2,16.6,0.0,0,0
19,2017-12-23,15:00,Premier League,Matchweek 19,Sat,Home,D,1,1,Huddersfield,1.3,1.1,53,29675,Steven Davis,4-2-3-1,Lee Probert,Match Report,,12,6,18.2,0.0,0,0
20,2017-12-26,12:30,Premier League,Matchweek 20,Tue,Away,L,2,5,Tottenham,0.8,3.0,43,55412,Maya Yoshida,4-1-4-1,Graham Scott,Match Report,,16,6,18.5,0.0,0,0
21,2017-12-30,17:30,Premier League,Matchweek 21,Sat,Away,D,0,0,Manchester Utd,0.6,1.7,46,75051,Maya Yoshida,4-2-3-1,Craig Pawson,Match Report,,8,3,15.9,1.0,0,0
22,2018-01-02,19:45,Premier League,Matchweek 22,Tue,Home,L,1,2,Crystal Palace,0.4,1.3,60,28411,Maya Yoshida,4-2-3-1,Stuart Attwell,Match Report,,10,3,20.8,0.0,0,0
24,2018-01-13,15:00,Premier League,Matchweek 23,Sat,Away,D,2,2,Watford,0.9,2.0,44,20018,Steven Davis,4-2-3-1,Roger East,Match Report,,10,4,20.2,0.0,0,0
25,2018-01-21,16:00,Premier League,Matchweek 24,Sun,Home,D,1,1,Tottenham,0.8,1.2,41,31361,Ryan Bertrand,4-2-3-1,Kevin Friend,Match Report,,10,4,22.3,0.0,0,0
27,2018-01-31,19:45,Premier League,Matchweek 25,Wed,Home,D,1,1,Brighton,1.4,1.1,66,30034,Steven Davis,4-2-3-1,Mike Dean,Match Report,,18,3,21.2,1.0,0,0
28,2018-02-03,15:00,Premier League,Matchweek 26,Sat,Away,W,3,2,West Brom,0.9,0.8,61,25911,Ryan Bertrand,4-2-3-1,Michael Oliver,Match Report,,13,5,19.1,2.0,0,0
29,2018-02-11,16:30,Premier League,Matchweek 27,Sun,Home,L,0,2,Liverpool,0.9,1.9,52,31915,Ryan Bertrand,4-2-3-1,Martin Atkinson,Match Report,,6,4,11.5,0.0,0,0
31,2018-02-24,15:00,Premier League,Matchweek 28,Sat,Away,D,1,1,Burnley,0.8,1.3,49,20982,Ryan Bertrand,4-2-3-1,Robert Madley,Match Report,,13,5,16.8,0.0,0,0
32,2018-03-03,15:00,Premier League,Matchweek 29,Sat,Home,D,0,0,Stoke City,0.9,0.8,65,30335,Ryan Bertrand,4-2-3-1,Anthony Taylor,Match Report,,18,6,19.9,0.0,0,0
33,2018-03-10,15:00,Premier League,Matchweek 30,Sat,Away,L,0,3,Newcastle Utd,0.3,1.3,63,52246,Ryan Bertrand,4-2-3-1,Andre Marriner,Match Report,,6,2,17.7,0.0,0,0
35,2018-03-31,15:00,Premier League,Matchweek 32,Sat,Away,L,0,3,West Ham,0.5,1.4,51,56882,Ryan Bertrand,4-4-2,Jonathan Moss,Match Report,,9,0,17.3,0.0,0,0
36,2018-04-08,14:15,Premier League,Matchweek 33,Sun,Away,L,2,3,Arsenal,2.0,1.6,36,59374,Ryan Bertrand,3-4-3,Andre Marriner,Match Report,,15,7,16.6,0.0,0,0
37,2018-04-14,12:30,Premier League,Matchweek 34,Sat,Home,L,2,3,Chelsea,1.0,0.8,42,31764,Ryan Bertrand,3-4-3,Mike Dean,Match Report,,10,7,15.5,0.0,0,0
38,2018-04-19,19:45,Premier League,Matchweek 35,Thu,Away,D,0,0,Leicester City,0.8,0.6,46,31160,Ryan Bertrand,3-4-3,Roger East,Match Report,,6,2,18.0,0.0,0,0
40,2018-04-28,15:00,Premier League,Matchweek 36,Sat,Home,W,2,1,Bournemouth,1.5,0.7,40,31778,Ryan Bertrand,3-4-3,Anthony Taylor,Match Report,,14,6,19.4,0.0,0,0
41,2018-05-05,17:30,Premier League,Matchweek 37,Sat,Away,D,1,1,Everton,0.7,0.5,46,38225,Ryan Bertrand,3-4-3,Jonathan Moss,Match Report,,11,5,22.8,2.0,0,0
42,2018-05-08,19:45,Premier League,Matchweek 31,Tue,Away,W,1,0,Swansea City,1.2,0.5,46,20858,Ryan Bertrand,3-4-3,Michael Oliver,Match Report,,13,8,16.4,0.0,0,0
43,2018-05-13,15:00,Premier League,Matchweek 38,Sun,Home,L,0,1,Manchester City,0.5,0.8,31,31882,Ryan Bertrand,5-4-1,Andre Marriner,Match Report,,8,2,15.8,0.0,0,0
