,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2018-08-11,12:30,Premier League,Matchweek 1,Sat,Away,W,2,1,Newcastle Utd,2.0,1.0,58,51749,Hugo Lloris,4-3-2-1,Martin Atkinson,Match Report,,15,5,15.0,1.0,0,0
1,2018-08-18,15:00,Premier League,Matchweek 2,Sat,Home,W,3,1,Fulham,2.9,1.6,60,58297,Hugo Lloris,3-1-4-2,Anthony Taylor,Match Report,,25,11,17.0,2.0,0,0
2,2018-08-27,20:00,Premier League,Matchweek 3,Mon,Away,W,3,0,Manchester Utd,1.2,1.5,43,74400,Hugo Lloris,4-1-2-1-2◆,Craig Pawson,Match Report,,9,5,14.6,0.0,0,0
3,2018-09-02,16:00,Premier League,Matchweek 4,Sun,Away,L,1,2,Watford,0.6,0.4,66,20141,Harry Kane,3-1-4-2,Andre Marriner,Match Report,,11,2,21.7,0.0,0,0
4,2018-09-15,12:30,Premier League,Matchweek 5,Sat,Home,L,1,2,Liverpool,1.0,2.6,60,80188,Harry Kane,4-1-2-1-2◆,Michael Oliver,Match Report,,11,3,19.2,2.0,0,0
6,2018-09-22,17:30,Premier League,Matchweek 6,Sat,Away,W,2,1,Brighton,1.9,0.8,70,30531,Harry Kane,4-2-3-1,Chris Kavanagh,Match Report,,15,6,18.5,1.0,1,1
8,2018-09-29,15:00,Premier League,Matchweek 7,Sat,Away,W,2,0,Huddersfield,2.1,0.4,47,23885,Harry Kane,3-4-3,Craig Pawson,Match Report,,9,5,14.4,0.0,1,1
10,2018-10-06,15:00,Premier League,Matchweek 8,Sat,Home,W,1,0,Cardiff City,2.0,1.2,75,43268,Hugo Lloris,4-4-2,Mike Dean,Match Report,,19,6,16.1,0.0,0,0
11,2018-10-20,15:00,Premier League,Matchweek 9,Sat,Away,W,1,0,West Ham,0.9,0.8,56,56921,Hugo Lloris,4-3-2-1,Martin Atkinson,Match Report,,10,2,15.5,0.0,0,0
13,2018-10-29,20:00,Premier League,Matchweek 10,Mon,Home,L,0,1,Manchester City,0.4,1.6,49,56854,Hugo Lloris,4-2-3-1,Kevin Friend,Match Report,,4,1,16.4,0.0,0,0
15,2018-11-03,19:45,Premier League,Matchweek 11,Sat,Away,W,3,2,Wolves,1.4,2.7,51,31185,Hugo Lloris,4-3-2-1,Mike Dean,Match Report,,10,8,15.6,0.0,0,0
17,2018-11-10,17:30,Premier League,Matchweek 12,Sat,Away,W,1,0,Crystal Palace,1.2,0.8,64,25685,Hugo Lloris,4-2-3-1,Jonathan Moss,Match Report,,11,2,13.8,0.0,0,0
18,2018-11-24,17:30,Premier League,Matchweek 13,Sat,Home,W,3,1,Chelsea,3.1,1.0,40,55465,Hugo Lloris,4-1-2-1-2◆,Martin Atkinson,Match Report,,18,9,13.6,0.0,0,0
20,2018-12-02,14:05,Premier League,Matchweek 14,Sun,Away,L,2,4,Arsenal,1.2,2.7,41,59973,Hugo Lloris,4-1-2-1-2◆,Mike Dean,Match Report,,10,5,25.7,1.0,1,1
21,2018-12-05,20:00,Premier League,Matchweek 15,Wed,Home,W,3,1,Southampton,1.6,1.7,52,33012,Hugo Lloris,4-2-3-1,Anthony Taylor,Match Report,,13,8,17.7,1.0,0,0
22,2018-12-08,19:45,Premier League,Matchweek 16,Sat,Away,W,2,0,Leicester City,0.9,0.4,57,31957,Hugo Lloris,4-2-3-1,Craig Pawson,Match Report,,7,2,17.8,1.0,0,0
24,2018-12-15,15:00,Premier League,Matchweek 17,Sat,Home,W,1,0,Burnley,1.7,0.5,70,41645,Hugo Lloris,4-2-3-1,Graham Scott,Match Report,,15,3,15.8,0.0,0,0
