,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2017-08-12,15:00,Premier League,Matchweek 1,Sat,Away,L,0,1,Everton,0.4,0.6,40,39045,Ryan Shawcross,3-4-3,Niel Swarbrick,Match Report,,9,1,22.6,0.0,0,0
1,2017-08-19,17:30,Premier League,Matchweek 2,Sat,Home,W,1,0,Arsenal,0.7,1.5,24,29459,Ryan Shawcross,3-4-3,Andre Marriner,Match Report,,11,4,15.4,0.0,0,0
3,2017-08-27,13:30,Premier League,Matchweek 3,Sun,Away,D,1,1,West Brom,1.3,0.8,57,22704,Ryan Shawcross,3-4-3,Anthony Taylor,Match Report,,16,2,19.0,0.0,0,0
4,2017-09-09,17:30,Premier League,Matchweek 4,Sat,Home,D,2,2,Manchester Utd,1.2,2.1,37,29320,Darren Fletcher,3-4-3,Niel Swarbrick,Match Report,,10,5,16.8,0.0,0,0
5,2017-09-16,15:00,Premier League,Matchweek 5,Sat,Away,L,1,2,Newcastle Utd,0.7,2.0,58,51795,Darren Fletcher,3-4-3,Stuart Attwell,Match Report,,13,4,21.3,1.0,0,0
7,2017-09-23,15:00,Premier League,Matchweek 6,Sat,Home,L,0,4,Chelsea,0.8,1.4,45,29661,Darren Fletcher,3-4-3,Mike Dean,Match Report,,13,2,18.8,1.0,0,0
8,2017-09-30,15:00,Premier League,Matchweek 7,Sat,Home,W,2,1,Southampton,2.4,1.4,30,29285,Darren Fletcher,3-4-3,Mike Jones,Match Report,,16,5,16.3,0.0,0,1
9,2017-10-14,15:00,Premier League,Matchweek 8,Sat,Away,L,2,7,Manchester City,0.5,3.8,21,54128,Darren Fletcher,4-4-1-1,Craig Pawson,Match Report,,5,1,21.2,0.0,0,0
10,2017-10-21,15:00,Premier League,Matchweek 9,Sat,Home,L,1,2,Bournemouth,1.2,1.1,53,29500,Ryan Shawcross,3-4-3,Lee Probert,Match Report,,10,2,14.8,0.0,0,0
11,2017-10-28,15:00,Premier League,Matchweek 10,Sat,Away,W,1,0,Watford,1.1,1.2,31,20087,Ryan Shawcross,3-4-3,Michael Oliver,Match Report,,6,2,21.1,0.0,0,0
12,2017-11-04,12:30,Premier League,Matchweek 11,Sat,Home,D,2,2,Leicester City,1.0,1.5,47,29602,Ryan Shawcross,3-4-3,Robert Madley,Match Report,,11,7,15.5,0.0,0,0
13,2017-11-20,20:00,Premier League,Matchweek 12,Mon,Away,D,2,2,Brighton,1.0,0.5,47,29676,Ryan Shawcross,3-4-3,Lee Mason,Match Report,,13,6,16.3,0.0,0,0
14,2017-11-25,15:00,Premier League,Matchweek 13,Sat,Away,L,1,2,Crystal Palace,0.7,1.4,46,23723,Ryan Shawcross,3-4-3,Mike Dean,Match Report,,10,3,17.5,1.0,0,0
15,2017-11-29,20:00,Premier League,Matchweek 14,Wed,Home,L,0,3,Liverpool,0.9,2.9,41,29423,Ryan Shawcross,3-4-3,Martin Atkinson,Match Report,,10,1,19.5,1.0,0,0
16,2017-12-02,15:00,Premier League,Matchweek 15,Sat,Home,W,2,1,Swansea City,1.1,0.4,45,28261,Ryan Shawcross,4-4-2,Craig Pawson,Match Report,,10,3,18.6,0.0,0,0
17,2017-12-09,15:00,Premier League,Matchweek 16,Sat,Away,L,1,5,Tottenham,0.5,3.6,29,62202,Ryan Shawcross,3-4-3,Roger East,Match Report,,4,3,12.5,0.0,0,0
18,2017-12-12,19:45,Premier League,Matchweek 17,Tue,Away,L,0,1,Burnley,1.1,0.4,49,19909,Ryan Shawcross,4-4-2,Mike Jones,Match Report,,14,7,19.7,0.0,0,0
19,2017-12-16,16:00,Premier League,Matchweek 18,Sat,Home,L,0,3,West Ham,1.1,3.1,54,29265,Ryan Shawcross,4-4-2,Graham Scott,Match Report,,17,0,18.6,0.0,0,0
