,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2018-08-11,15:00,Premier League,Matchweek 1,Sat,Home,W,2,0,Brighton,1.2,0.3,53,20051,Troy Deeney,4-2-2-2,Jonathan Moss,Match Report,,19,5,17.7,2.0,0,0
1,2018-08-19,13:30,Premier League,Matchweek 2,Sun,Away,W,3,1,Burnley,1.5,0.6,42,18822,Troy Deeney,4-2-2-2,Paul Tierney,Match Report,,9,6,18.4,0.0,0,0
2,2018-08-26,13:30,Premier League,Matchweek 3,Sun,Home,W,2,1,Crystal Palace,1.2,1.0,43,20014,Troy Deeney,4-2-2-2,Anthony Taylor,Match Report,,13,5,18.1,0.0,0,0
4,2018-09-02,16:00,Premier League,Matchweek 4,Sun,Home,W,2,1,Tottenham,0.4,0.6,34,20141,Troy Deeney,4-2-2-2,Andre Marriner,Match Report,,7,3,17.4,1.0,0,0
5,2018-09-15,17:30,Premier League,Matchweek 5,Sat,Home,L,1,2,Manchester Utd,1.3,1.9,43,20537,Troy Deeney,4-2-2-2,Mike Dean,Match Report,,14,5,19.2,1.0,0,0
6,2018-09-22,12:30,Premier League,Matchweek 6,Sat,Away,D,1,1,Fulham,1.4,1.7,40,23418,Troy Deeney,4-2-2-2,Martin Atkinson,Match Report,,11,6,16.2,0.0,0,0
8,2018-09-29,15:00,Premier League,Matchweek 7,Sat,Away,L,0,2,Arsenal,2.8,1.4,37,60019,Troy Deeney,4-2-2-2,Anthony Taylor,Match Report,,14,5,17.6,1.0,0,0
9,2018-10-06,15:00,Premier League,Matchweek 8,Sat,Home,L,0,4,Bournemouth,1.0,3.2,48,20139,Troy Deeney,4-2-2-2,Jonathan Moss,Match Report,,14,2,16.7,1.0,0,0
10,2018-10-20,15:00,Premier League,Matchweek 9,Sat,Away,W,2,0,Wolves,1.1,0.7,55,31144,Adrian Mariappa,4-2-2-2,Lee Mason,Match Report,,9,3,19.7,1.0,0,0
11,2018-10-27,15:00,Premier League,Matchweek 10,Sat,Home,W,3,0,Huddersfield,2.0,0.5,48,20457,Adrian Mariappa,4-2-2-2,Mike Dean,Match Report,,12,6,15.8,0.0,0,0
12,2018-11-03,15:00,Premier League,Matchweek 11,Sat,Away,L,0,1,Newcastle Utd,2.0,0.5,58,49157,Adrian Mariappa,4-2-2-2,Craig Pawson,Match Report,,16,1,14.7,1.0,0,0
13,2018-11-10,15:00,Premier League,Matchweek 12,Sat,Away,D,1,1,Southampton,1.2,1.1,58,28153,Adrian Mariappa,4-2-2-2,Simon Hooper,Match Report,,12,6,15.6,0.0,0,0
14,2018-11-24,15:00,Premier League,Matchweek 13,Sat,Home,L,0,3,Liverpool,0.4,1.2,37,20540,Troy Deeney,4-2-2-2,Jonathan Moss,Match Report,,5,1,18.5,0.0,0,0
15,2018-12-01,15:00,Premier League,Matchweek 14,Sat,Away,L,0,2,Leicester City,1.2,1.3,62,31353,Adrian Mariappa,4-2-2-2,Graham Scott,Match Report,,8,0,18.9,1.0,0,0
16,2018-12-04,20:00,Premier League,Matchweek 15,Tue,Home,L,1,2,Manchester City,1.8,2.5,30,20389,Troy Deeney,4-1-4-1,Paul Tierney,Match Report,,11,6,14.5,0.0,0,0
17,2018-12-10,20:00,Premier League,Matchweek 16,Mon,Away,D,2,2,Everton,1.7,1.7,44,38400,Troy Deeney,4-2-2-2,Kevin Friend,Match Report,,15,3,16.3,2.0,0,0
18,2018-12-15,15:00,Premier League,Matchweek 17,Sat,Home,W,3,2,Cardiff City,1.4,0.9,71,20032,Troy Deeney,4-2-2-2,Andy Madley,Match Report,,17,8,19.9,1.0,0,0
19,2018-12-22,15:00,Premier League,Matchweek 18,Sat,Away,W,2,0,West Ham,2.3,2.0,48,56833,Troy Deeney,4-2-2-2,Lee Mason,Match Report,,10,4,18.0,0.0,1,1
20,2018-12-26,19:30,Premier League,Matchweek 19,Wed,Home,L,1,2,Chelsea,1.2,1.9,35,20415,Troy Deeney,4-2-2-2,Martin Atkinson,Match Report,,11,2,16.1,0.0,0,0
21,2018-12-29,15:00,Premier League,Matchweek 20,Sat,Home,D,1,1,Newcastle Utd,1.3,0.7,63,20336,Adrian Mariappa,4-2-2-2,Roger East,Match Report,,12,5,19.9,3.0,0,0
22,2019-01-02,19:45,Premier League,Matchweek 21,Wed,Away,D,3,3,Bournemouth,0.9,2.2,43,10261,Troy Deeney,4-2-2-2,David Coote,Match Report,,11,3,19.0,0.0,0,0
24,2019-01-12,15:00,Premier League,Matchweek 22,Sat,Away,W,2,1,Crystal Palace,1.6,1.3,45,25010,Troy Deeney,4-2-2-2,Paul Tierney,Match Report,,16,2,16.8,2.0,0,0
25,2019-01-19,15:00,Premier League,Matchweek 23,Sat,Home,D,0,0,Burnley,1.3,1.8,54,19510,Troy Deeney,4-2-2-2,Michael Oliver,Match Report,,9,3,16.1,0.0,0,0
27,2019-01-30,20:00,Premier League,Matchweek 24,Wed,Away,L,1,2,Tottenham,0.5,1.7,32,29164,Troy Deeney,4-2-2-2,Graham Scott,Match Report,,9,1,17.5,0.0,0,0
28,2019-02-02,15:00,Premier League,Matchweek 25,Sat,Away,D,0,0,Brighton,0.3,1.6,45,30414,Troy Deeney,4-2-2-2,Simon Hooper,Match Report,,5,0,15.3,0.0,0,0
29,2019-02-09,15:00,Premier League,Matchweek 26,Sat,Home,W,1,0,Everton,1.3,0.7,44,20333,Troy Deeney,4-2-2-2,Lee Probert,Match Report,,7,2,15.1,0.0,0,0
31,2019-02-22,19:45,Premier League,Matchweek 27,Fri,Away,W,5,1,Cardiff City,2.1,2.0,63,30387,Troy Deeney,4-2-2-2,Simon Hooper,Match Report,,12,7,18.3,2.0,0,0
32,2019-02-27,20:00,Premier League,Matchweek 28,Wed,Away,L,0,5,Liverpool,0.3,1.9,38,53316,Troy Deeney,4-2-2-2,Graham Scott,Match Report,,5,3,16.5,0.0,0,0
33,2019-03-03,12:00,Premier League,Matchweek 29,Sun,Home,W,2,1,Leicester City,0.8,0.9,39,20062,Troy Deeney,4-2-2-2,Jonathan Moss,Match Report,,6,5,13.5,0.0,0,0
34,2019-03-09,17:30,Premier League,Matchweek 30,Sat,Away,L,1,3,Manchester City,0.2,3.4,29,54104,Étienne Capoue,4-5-1,Paul Tierney,Match Report,,2,1,20.4,1.0,0,0
36,2019-03-30,15:00,Premier League,Matchweek 32,Sat,Away,L,1,2,Manchester Utd,1.5,1.6,48,74543,Troy Deeney,4-2-2-2,Stuart Attwell,Match Report,,20,8,21.0,0.0,0,0
37,2019-04-02,19:45,Premier League,Matchweek 33,Tue,Home,W,4,1,Fulham,1.2,1.6,47,17301,Troy Deeney,4-2-2-2,Roger East,Match Report,,15,7,17.9,0.0,0,0
39,2019-04-15,20:00,Premier League,Matchweek 34,Mon,Home,L,0,1,Arsenal,1.0,2.3,35,20480,Troy Deeney,3-5-2,Craig Pawson,Match Report,,11,2,17.7,1.0,0,0
40,2019-04-20,15:00,Premier League,Matchweek 35,Sat,Away,W,2,1,Huddersfield,0.9,1.0,54,23957,Adrian Mariappa,4-2-2-2,Roger East,Match Report,,11,6,18.1,1.0,0,0
41,2019-04-23,19:45,Premier League,Matchweek 31,Tue,Home,D,1,1,Southampton,1.3,2.0,62,19170,Étienne Capoue,4-2-2-2,Mike Dean,Match Report,,15,4,17.1,0.0,0,0
42,2019-04-27,15:00,Premier League,Matchweek 36,Sat,Home,L,1,2,Wolves,0.8,2.0,56,20323,Adrian Mariappa,4-2-2-2,Simon Hooper,Match Report,,10,1,17.6,0.0,0,0
43,2019-05-05,14:00,Premier League,Matchweek 37,Sun,Away,L,0,3,Chelsea,1.7,2.3,42,40560,Troy Deeney,4-2-2-2,Paul Tierney,Match Report,,16,3,15.9,0.0,0,0
44,2019-05-12,15:00,Premier League,Matchweek 38,Sun,Home,L,1,4,West Ham,2.2,3.1,49,20067,Troy Deeney,4-2-2-2,Chris Kavanagh,Match Report,,17,8,13.8,0.0,0,0
