,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt
0,2017-08-13,16:00,Premier League,Matchweek 1,Sun,Away,L,0,4,Manchester Utd,0.5,2.1,45,74928,Mark Noble,4-2-3-1,Martin Atkinson,Match Report,,9,1,17.8,0.0,0,0
1,2017-08-19,15:00,Premier League,Matchweek 2,Sat,Away,L,2,3,Southampton,2.0,2.1,34,31424,Mark Noble,4-2-3-1,Lee Mason,Match Report,,16,8,13.4,0.0,0,0
3,2017-08-26,15:00,Premier League,Matchweek 3,Sat,Away,L,0,3,Newcastle Utd,0.6,2.3,63,52093,Mark Noble,4-2-3-1,Niel Swarbrick,Match Report,,8,3,23.5,1.0,0,0
4,2017-09-11,20:00,Premier League,Matchweek 4,Mon,Home,W,2,0,Huddersfield,1.7,0.4,44,56977,Winston Reid,3-4-3,Kevin Friend,Match Report,,19,3,19.4,2.0,0,0
5,2017-09-16,15:00,Premier League,Matchweek 5,Sat,Away,D,0,0,West Brom,0.3,0.7,63,24942,Winston Reid,3-4-3,Paul Tierney,Match Report,,9,1,23.3,0.0,0,0
7,2017-09-23,12:30,Premier League,Matchweek 6,Sat,Home,L,2,3,Tottenham,0.6,1.2,49,56988,Mark Noble,3-4-3,Michael Oliver,Match Report,,10,4,19.2,0.0,0,0
8,2017-09-30,15:00,Premier League,Matchweek 7,Sat,Home,W,1,0,Swansea City,0.7,0.2,44,56922,Mark Noble,4-4-2,Roger East,Match Report,,9,4,14.3,0.0,0,0
9,2017-10-14,15:00,Premier League,Matchweek 8,Sat,Away,D,1,1,Burnley,0.9,1.2,38,20945,Winston Reid,4-4-2,Stuart Attwell,Match Report,,8,6,22.4,0.0,0,0
10,2017-10-20,20:00,Premier League,Matchweek 9,Fri,Home,L,0,3,Brighton,0.7,1.4,65,56977,Winston Reid,4-2-3-1,Martin Atkinson,Match Report,,16,2,21.5,2.0,0,0
12,2017-10-28,15:00,Premier League,Matchweek 10,Sat,Away,D,2,2,Crystal Palace,0.8,2.6,45,25242,Mark Noble,3-5-2,Robert Madley,Match Report,,6,2,14.6,0.0,0,0
13,2017-11-04,17:30,Premier League,Matchweek 11,Sat,Home,L,1,4,Liverpool,1.2,2.7,48,56961,Mark Noble,3-4-3,Niel Swarbrick,Match Report,,6,1,11.6,0.0,0,0
14,2017-11-19,16:00,Premier League,Matchweek 12,Sun,Away,L,0,2,Watford,1.6,1.0,42,20018,Mark Noble,4-3-3,Andre Marriner,Match Report,,10,5,17.7,1.0,0,0
15,2017-11-24,20:00,Premier League,Matchweek 13,Fri,Home,D,1,1,Leicester City,0.9,0.4,50,56897,Winston Reid,4-2-3-1,Martin Atkinson,Match Report,,8,4,13.1,1.0,0,0
16,2017-11-29,20:00,Premier League,Matchweek 14,Wed,Away,L,0,4,Everton,1.1,1.5,56,38242,Winston Reid,4-1-4-1,Michael Oliver,Match Report,,6,2,20.6,0.0,0,1
17,2017-12-03,16:00,Premier League,Matchweek 15,Sun,Away,L,1,2,Manchester City,0.6,2.3,24,54203,Pablo Zabaleta,3-5-1-1,Mike Dean,Match Report,,7,4,17.1,0.0,0,0
18,2017-12-09,12:30,Premier League,Matchweek 16,Sat,Home,W,1,0,Chelsea,0.3,1.2,31,56953,Mark Noble,3-4-3,Anthony Taylor,Match Report,,5,2,18.6,0.0,0,0
19,2017-12-13,20:00,Premier League,Matchweek 17,Wed,Home,D,0,0,Arsenal,0.4,1.0,31,56921,Mark Noble,5-3-2,Jonathan Moss,Match Report,,6,0,17.9,0.0,0,0
20,2017-12-16,16:00,Premier League,Matchweek 18,Sat,Away,W,3,0,Stoke City,3.1,1.1,46,29265,Mark Noble,3-4-1-2,Graham Scott,Match Report,,13,6,16.5,0.0,1,1
22,2017-12-23,15:00,Premier League,Matchweek 19,Sat,Home,L,2,3,Newcastle Utd,2.1,1.7,64,56955,Winston Reid,3-4-3,Lee Mason,Match Report,,18,5,19.9,0.0,0,1
23,2017-12-26,15:00,Premier League,Matchweek 20,Tue,Away,D,3,3,Bournemouth,1.7,2.9,45,10596,James Collins,3-4-3,Stuart Attwell,Match Report,,10,5,13.4,0.0,0,0
24,2018-01-02,19:45,Premier League,Matchweek 22,Tue,Home,W,2,1,West Brom,1.3,1.0,53,56888,Winston Reid,3-4-3,Mike Jones,Match Report,,13,5,16.9,0.0,0,0
25,2018-01-04,20:00,Premier League,Matchweek 21,Thu,Away,D,1,1,Tottenham,0.5,1.8,30,50034,Mark Noble,3-5-1-1,Mike Dean,Match Report,,3,1,15.1,0.0,0,0
27,2018-01-13,15:00,Premier League,Matchweek 23,Sat,Away,W,4,1,Huddersfield,0.9,0.7,37,24105,Mark Noble,3-5-1-1,Jonathan Moss,Match Report,,8,5,15.4,1.0,0,0
29,2018-01-20,15:00,Premier League,Matchweek 24,Sat,Home,D,1,1,Bournemouth,0.8,0.5,48,56948,Mark Noble,3-5-1-1,Martin Atkinson,Match Report,,12,4,22.6,0.0,0,0
31,2018-01-30,19:45,Premier League,Matchweek 25,Tue,Home,D,1,1,Crystal Palace,1.1,0.9,41,56911,Mark Noble,3-4-3,Niel Swarbrick,Match Report,,7,2,16.9,0.0,1,1
32,2018-02-03,15:00,Premier League,Matchweek 26,Sat,Away,L,1,3,Brighton,0.4,1.7,45,30589,Mark Noble,3-4-3,Roger East,Match Report,,4,1,12.3,0.0,0,0
33,2018-02-10,15:00,Premier League,Matchweek 27,Sat,Home,W,2,0,Watford,1.5,0.6,37,56197,Mark Noble,3-4-3,Graham Scott,Match Report,,8,4,15.1,0.0,0,0
34,2018-02-24,15:00,Premier League,Matchweek 28,Sat,Away,L,1,4,Liverpool,0.4,4.0,33,53256,Mark Noble,3-4-3,Stuart Attwell,Match Report,,7,4,17.2,0.0,0,0
35,2018-03-03,15:00,Premier League,Matchweek 29,Sat,Away,L,1,4,Swansea City,0.4,1.8,54,20829,Mark Noble,3-4-3,Martin Atkinson,Match Report,,7,2,19.2,0.0,0,0
36,2018-03-10,15:00,Premier League,Matchweek 30,Sat,Home,L,0,3,Burnley,0.8,1.4,52,56904,Mark Noble,3-4-3,Lee Mason,Match Report,,13,4,19.0,0.0,0,0
37,2018-03-31,15:00,Premier League,Matchweek 32,Sat,Home,W,3,0,Southampton,1.4,0.5,49,56882,Mark Noble,3-4-3,Jonathan Moss,Match Report,,12,5,16.6,0.0,0,0
38,2018-04-08,16:30,Premier League,Matchweek 33,Sun,Away,D,1,1,Chelsea,0.3,1.7,41,41324,Mark Noble,3-4-3,Kevin Friend,Match Report,,5,2,17.3,0.0,0,0
39,2018-04-16,20:00,Premier League,Matchweek 34,Mon,Home,D,1,1,Stoke City,0.8,1.7,63,56795,Mark Noble,3-4-3,Michael Oliver,Match Report,,18,6,26.8,6.0,0,0
40,2018-04-22,13:30,Premier League,Matchweek 35,Sun,Away,L,1,4,Arsenal,0.8,1.8,33,59422,Mark Noble,3-4-3,Lee Mason,Match Report,,11,4,15.4,0.0,0,0
41,2018-04-29,14:15,Premier League,Matchweek 36,Sun,Home,L,1,4,Manchester City,0.2,2.4,26,56904,Mark Noble,3-5-1-1,Niel Swarbrick,Match Report,,4,1,17.8,1.0,0,0
42,2018-05-05,15:00,Premier League,Matchweek 37,Sat,Away,W,2,0,Leicester City,1.6,0.5,47,32013,Mark Noble,3-4-3,Chris Kavanagh,Match Report,,13,3,14.8,0.0,0,0
43,2018-05-10,19:45,Premier League,Matchweek 31,Thu,Home,D,0,0,Manchester Utd,0.6,0.8,44,56902,Mark Noble,3-4-3,Jonathan Moss,Match Report,,9,2,17.4,1.0,0,0
44,2018-05-13,15:00,Premier League,Matchweek 38,Sun,Home,W,3,1,Everton,1.1,1.6,57,56926,Mark Noble,3-4-3,Graham Scott,Match Report,,15,4,20.2,1.0,0,0
